,0
3011,0
3008,0
3042,0
3089,0
3013,0
3016,0
3007,0
3026,0
3010,0
3051,0
3015,0
3005,0
3047,0
3217,0
3102,0
3000,0
3058,0
3035,0
3182,0
3034,0
3136,0
3032,0
3001,0
3298,0
3029,0
3057,0
3020,0
3077,0
3064,0
3132,0
3050,0
3261,0
3099,0
3075,0
3076,0
3022,0
3063,0
3206,0
3018,0
3082,0
3098,0
3056,0
3103,0
3039,0
4511,0
7012,38
6513,38
5511,56
5521,56
5013,56
5571,56
5599,56
7033,23
7032,23
5533,42
7538,42
7542,42
5532,42
7531,42
7534,42
5531,42
7535,42
3357,61
3389,61
3381,61
3366,61
3405,61
3351,61
3441,61
3387,61
3390,61
3395,61
3420,61
7512,61
8999,3
8641,3
9399,3
8398,3
9222,3
9311,3
8699,3
9402,3
8661,3
8931,3
9405,3
8911,3
9211,3
8675,3
8734,3
5964,35
7311,35
5967,35
5968,35
5969,35
5965,35
5960,35
7230,51
7298,51
7297,51
4215,28
4214,28
4011,28
7210,83
7216,83
7251,83
7211,83
7221,81
7395,81
7399,7
7392,7
5963,7
7394,7
5199,7
4225,7
7321,7
7361,7
7349,7
8111,86
7393,50
5962,77
4722,77
4723,77
7991,77
4411,77
7011,17
3553,17
3586,17
3501,17
3649,17
3655,17
3509,17
3533,17
3504,17
3678,17
3503,17
3642,17
3502,17
3750,17
3637,17
3640,17
3579,17
3583,17
3674,17
3612,17
3520,17
3665,17
3690,17
3634,17
3543,17
3641,17
3710,17
3592,17
3513,17
3778,17
3615,17
3654,17
3530,17
3692,17
3535,17
3512,17
3548,17
3508,17
3722,17
3779,17
3643,17
3709,17
3721,17
3510,17
3730,17
3728,17
3515,17
3516,17
3723,17
3771,17
3545,17
3581,17
3784,17
3743,17
3765,17
3740,17
3773,17
3774,17
3726,17
3766,17
3518,17
3715,17
3700,17
3695,17
3687,17
3677,17
3672,17
3668,17
3651,17
3638,17
3598,17
3590,17
3572,17
3536,17
3523,17
3506,17
8099,13
8021,13
8043,13
8011,13
8062,13
8351,13
8031,13
8042,13
4119,13
8071,36
5122,36
5976,36
5047,36
8050,36
5975,36
5912,36
1799,74
5051,74
5046,74
1750,74
5072,74
1711,74
5198,74
7629,74
7622,74
7631,74
5021,74
1731,74
2842,74
2791,74
1761,74
7692,74
7623,74
1740,74
7641,74
5085,74
2741,74
5065,74
5211,76
5039,76
7699,76
5718,76
5713,76
1520,76
5231,76
5261,75
5712,75
5200,75
5722,75
5251,75
5719,75
5074,75
5169,75
4900,26
8299,41
8244,41
8211,41
8241,41
8249,41
8220,40
7261,64
7299,53
7273,53
7277,53
7276,53
5411,60
5499,60
5462,60
5441,60
5451,60
5422,60
5813,5
5814,63
5812,63
5921,57
5811,16
4111,70
4112,70
4121,70
4789,70
4131,70
5541,18
5983,18
5542,18
5172,18
4582,4
5561,14
5271,14
5592,14
7513,14
7519,14
5551,58
4468,58
4457,58
4784,15
7523,52
7994,11
7993,11
7995,1
7832,24
7922,72
7997,79
7941,2
7911,71
7929,37
7932,8
7999,47
7996,47
7933,47
7841,47
7998,47
7829,47
5641,12
5691,45
5651,45
5661,45
5699,45
5621,45
5944,45
5631,45
5948,45
5611,45
5137,45
5931,44
5310,44
5655,66
5977,29
5941,67
5735,19
5733,19
5681,43
5094,43
5942,25
5192,25
5995,20
5945,30
5943,49
5111,49
5947,48
5992,80
5946,32
5950,33
5970,34
5131,84
5940,10
5993,69
5193,39
5949,31
5300,46
5399,62
5309,6
5099,65
5994,65
5971,65
5697,65
7278,65
5139,65
5932,65
5933,65
5698,65
5973,65
5997,65
5972,65
5935,65
5996,65
5998,65
5937,65
7296,65
6051,21
6300,68
6011,78
6010,78
6012,78
6211,9
4814,73
4816,82
4812,59
4899,22
5734,55
5045,27
7379,27
7372,85
7338,85
5044,85
7375,85
7333,85
4829,85
7339,85
5978,85
4821,85
5311,53
5331,53
1771,76
3004,0
3006,0
3009,0
3012,0
3017,0
3021,0
3025,0
3028,0
3030,0
3033,0
3037,0
3038,0
3040,0
3041,0
3043,0
3044,0
3048,0
3049,0
3052,0
3061,0
3066,0
3068,0
3069,0
3072,0
3078,0
3079,0
3088,0
3100,0
3127,0
3129,0
3144,0
3161,0
3174,0
3180,0
3181,0
3183,0
3184,0
3191,0
3196,0
3211,0
3219,0
3236,0
3240,0
3245,0
3246,0
3247,0
3248,0
3256,0
3260,0
3266,0
3294,0
3296,0
3299,0
3355,61
3359,61
3364,61
3374,61
3386,61
3393,61
3409,61
3438,61
3505,77
3511,77
3514,77
3517,77
3519,77
3524,77
3526,77
3528,77
3529,77
3537,77
3538,77
3539,77
3541,77
3542,77
3544,77
3546,77
3551,77
3552,77
3555,77
3559,77
3562,77
3575,77
3577,77
3580,77
3584,77
3589,77
3591,77
3595,77
3596,77
3602,77
3604,77
3607,77
3609,77
3611,77
3613,77
3616,77
3617,77
3619,77
3621,77
3623,77
3625,77
3628,77
3629,77
3631,77
3635,77
3644,77
3645,77
3647,77
3650,77
3652,77
3653,77
3657,77
3658,77
3659,77
3660,77
3661,77
3662,77
3667,77
3670,77
3675,77
3681,77
3688,77
3693,77
3698,77
3703,77
3714,77
3716,77
3718,77
3719,77
3729,77
3731,77
3739,77
3741,77
3742,77
3744,77
3745,77
3749,77
3751,77
3754,77
3767,77
3769,77
3770,77
3777,77
3782,77
3783,77
3790,77
3791,77
3793,77
3795,77
3798,77
3807,77
3808,77
3811,77
3812,77
3813,77
3822,77
3824,77
3825,77
3826,77
3828,77
3829,77
3830,77
3831,77
3832,77
4815,73
5598,47
5714,75
5732,65
5815,85
5816,11
5817,55
5818,85
5961,28
5966,35
5999,65
6050,78
6532,78
6533,78
6536,78
6537,78
6538,78
6539,78
6540,78
7217,26
7342,26
742,20
7549,42
763,7
780,39
7800,47
7992,47
8041,13
8049,13
8651,7
1771,76
3004,0
3006,0
3009,0
3012,0
3017,0
3021,0
3025,0
3028,0
3030,0
3033,0
3037,0
3038,0
3040,0
3041,0
3043,0
3044,0
3048,0
3049,0
3052,0
3061,0
3066,0
3068,0
3069,0
3072,0
3078,0
3079,0
3088,0
3100,0
3127,0
3129,0
3144,0
3161,0
3174,0
3180,0
3181,0
3183,0
3184,0
3191,0
3196,0
3211,0
3219,0
3236,0
3240,0
3245,0
3246,0
3247,0
3248,0
3256,0
3260,0
3266,0
3294,0
3296,0
3299,0
3355,61
3359,61
3364,61
3374,61
3386,61
3393,61
3409,61
3438,61
3505,77
3511,77
3514,77
3517,77
3519,77
3524,77
3526,77
3528,77
3529,77
3537,77
3538,77
3539,77
3541,77
3542,77
3544,77
3546,77
3551,77
3552,77
3555,77
3559,77
3562,77
3575,77
3577,77
3580,77
3584,77
3589,77
3591,77
3595,77
3596,77
3602,77
3604,77
3607,77
3609,77
3611,77
3613,77
3616,77
3617,77
3619,77
3621,77
3623,77
3625,77
3628,77
3629,77
3631,77
3635,77
3644,77
3645,77
3647,77
3650,77
3652,77
3653,77
3657,77
3658,77
3659,77
3660,77
3661,77
3662,77
3667,77
3670,77
3675,77
3681,77
3688,77
3693,77
3698,77
