step,accA,accB,accTot,aucA,aucB,aucTot,CE
1,0.7852370689655173,0.6615985576923077,0.7267897727272727,0.8574250105550466,0.7186328878390802,0.8029489926884853,0.6111664995551109
2,0.7840169270833334,0.6634937739463601,0.7267190346083788,0.857197838935024,0.7186991888047183,0.8017266521351347,0.6115925088524818
3,0.7846137152777778,0.6633740421455939,0.7269751821493625,0.8588655654227386,0.7176004622210188,0.8008137111648266,0.6115925088524818
4,0.7839439655172413,0.662765444015444,0.726775956284153,0.8544472835055419,0.7231026690358411,0.8007583116570475,0.6111898943781853
5,0.7839176829268293,0.6597089694656488,0.7246413934426229,0.8551190774288083,0.7193420515372868,0.798246518464588,0.6093380823731422
6,0.7795435153583617,0.6551513671875,0.7215391621129326,0.8508059945931834,0.7158354037820552,0.7955696519348481,0.6083058714866638
7,0.7782968213058419,0.6584907945736435,0.7219945355191257,0.8533599651617609,0.7144154204295254,0.795665940819935,0.6071650050580502
8,0.7842161016949153,0.6596333661417323,0.7265767304189436,0.8581215963272623,0.7156241934173138,0.8001300870423874,0.6115925088524818
9,0.7921241554054054,0.6590909090909091,0.7308173952641166,0.8656238100740667,0.7133841972458795,0.8041202359605852,0.6117682233452797
10,0.8009868421052632,0.6557397959183674,0.7361680327868853,0.8736672939373266,0.7099441235216641,0.809826454484729,0.6149521246552467
