step,accA,accB,accTot,aucA,aucB,aucTot,CE
1,0.787293118466899,0.6643010496183206,0.7285974499089253,0.8586686119902024,0.7213200380478316,0.8038534862500489,0.6080787852406502
2,0.7874300373134329,0.6614212633451957,0.722933743169399,0.8660502127382081,0.72602974991774,0.803903372452547,0.605221688747406
3,0.781667461832061,0.6591354529616724,0.7176115664845173,0.8665140242016234,0.7304026198829011,0.8028441716910708,0.6022689491510391
4,0.778125,0.6650086505190311,0.7185792349726776,0.8636696912333979,0.7347604187795571,0.8025556748154931,0.5966980010271072
5,0.7783018867924528,0.660431338028169,0.7173269581056466,0.8623891606589419,0.7307736076106781,0.8008017126164474,0.6013666540384293
6,0.7663018953068592,0.6438419117647058,0.7056295537340619,0.8542496735666065,0.7266769993366343,0.796880216959238,0.6015792526304722
7,0.7793260261194029,0.658307384341637,0.7173838797814208,0.8576568016922735,0.7224375686950301,0.7950408170936039,0.6002807393670082
8,0.7790013837638377,0.6554069244604317,0.7164162112932605,0.8635661649553328,0.7223793228557905,0.7990892607590548,0.6026879474520683
9,0.788510687732342,0.6484375,0.717070810564663,0.8704212193070411,0.7208837287769252,0.8019382609861531,0.6097613051533699
10,0.796376329787234,0.6468867041198502,0.7236737249544627,0.8722633449574521,0.7161553049793044,0.8047721910467371,0.608809694647789
